epoch,lr,time,loss
111,0.00027749999999999997,20:19:57,0.2044653304386884
112,0.00028,20:19:59,0.2043806875590235
113,0.0002825,20:20:00,0.21906799296848475
114,0.000285,20:20:01,0.20328174643218516
115,0.0002875,20:20:02,0.18582667256705462
116,0.00029,20:20:03,0.2039606712758541
117,0.0002925,20:20:05,0.1932021364569664
118,0.00029499999999999996,20:20:06,0.2015217762440443
119,0.00029749999999999997,20:20:07,0.20004962678067387
120,0.0003,20:20:08,0.24267345988191663
121,0.0003025,20:20:09,0.17043050318025052
122,0.000305,20:20:11,0.18664570576511325
123,0.0003075,20:20:12,0.1766267240513116
124,0.00031,20:20:13,0.20782633530907332
125,0.0003125,20:20:14,0.25919934557750823
126,0.00031499999999999996,20:20:15,0.24046684550121428
127,0.00031749999999999997,20:20:16,0.2037245654501021
